"id","borough","location","name","open_year_round","created_at","updated_at","latitude","longitude"
1010,"Brooklyn","Willoughby Avenue, Emerson Place","Pratt Playground","Yes","2018-07-03 15:40:11.026438","2018-07-03 16:22:36.227553",40.6923173,-73.9618982
1011,"Staten Island","Hylan Boulevard & Huguenot Avenue","Prescott Playground","Yes","2018-07-03 15:40:11.131648","2018-07-03 16:22:37.046257",40.5240461,-74.1861328
1018,"Brooklyn","Prospect Lake/East Lake Drive/south of Breeze Hill/Parking Lot","Prospect Park (Wollman Rink & Flower Garden)",,"2018-07-03 15:40:12.65062","2018-07-03 16:22:38.6842",40.6572752,-73.96416110000001
1021,"Brooklyn","Avenue Y, between Brown & Haring streets","PS 286 Playground","Yes","2018-07-03 15:40:12.756514","2018-07-03 16:22:39.299285",40.594024,-73.938717
1026,"Brooklyn","Ditmas Avenue between East 91 & East 92 streets","Railroad Playground","Yes","2018-07-03 15:40:13.715728","2018-07-03 16:22:39.913025",40.6478619,-73.9151302
1028,"Queens","Vernon Boulevard, 33 Road, 34 Street, East River","Rainey Park","Yes","2018-07-03 15:40:13.788949","2018-07-03 16:22:40.733361",40.7668297,-73.9386347
974,"Brooklyn","Newport Avenue & Osborn Street","Newport Playground","Yes","2018-07-03 15:40:00.771447","2018-07-03 16:26:30.316581",40.660832,-73.9071034
999,"Brooklyn","Furman Street, Pierrepont Place","Pierrepont Playground","Yes","2018-07-03 15:40:06.183224","2018-07-03 16:26:30.930771",40.6961936,-73.9975036
1017,"Brooklyn","Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive","Prospect Park (Willink Hill)","Yes","2018-07-03 15:40:12.613019","2018-07-03 16:26:31.545727",40.6605152,-73.9628091
1036,"Manhattan","West 144 Street, between 7 & 8 avenues","Renaissance Playground","Yes","2018-07-03 15:40:14.829236","2018-07-03 15:40:14.829236",40.8221132,-73.94176949999999
1037,"Bronx","Rev. James Polite Avenue, Intervale Avenue, East 167 Street","Rev. Polite Playground","Yes","2018-07-03 15:40:15.444034","2018-07-03 15:40:15.444034",40.8260054,-73.89684989999999
1038,"Bronx","East 178 Street & Ryer Avenue, Upper Level","Richman (Echo) Park Playground","Yes","2018-07-03 15:40:16.058343","2018-07-03 15:40:16.058343",40.8499008,-73.90179359999999
1039,"Bronx","East 226 Street, Barnes Avenue, East 225 Street","Rienzi Playground","Yes","2018-07-03 15:40:16.673085","2018-07-03 15:40:16.673085",40.886892,-73.857593
1044,"Manhattan","72nd to 79th streets between Hudson River and Henry Hudson Parkway","Riverside Park (Classic Playground)","Yes","2018-07-03 15:40:17.436953","2018-07-03 15:40:17.436953",40.785741,-73.984498
1046,"Manhattan","West 91 Street & Riverside Drive","Riverside Park (Hippo Playground)","Yes","2018-07-03 15:40:18.31815","2018-07-03 15:40:18.31815",40.7927426,-73.9770935
1047,"Manhattan","West 76 Street & Riverside Drive","Riverside Park (Neufeld Playground)","Yes","2018-07-03 15:40:18.995441","2018-07-03 15:40:18.995441",40.7831908,-73.9844723
1048,"Manhattan","West 83 Street & Riverside Drive","Riverside Park (River Run Playground)","Yes","2018-07-03 15:40:19.717833","2018-07-03 15:40:19.717833",40.7876029,-73.9811651
1050,"Manhattan","West 148 Street & Hudson River","Riverside Park (Ten Mile River Playground)","No","2018-07-03 15:40:20.976284","2018-07-03 15:40:20.976284",40.826288,-73.94413449999999
1051,"Manhattan","Riverside Drive & West 96th Street","Riverside Park (Tennis Courts)","Yes","2018-07-03 15:40:21.805842","2018-07-03 15:40:21.805842",40.797217,-73.97344319999999
1052,"Manhattan","1 Avenue, East 41 to East 42 streets","Robert Moses Playground","Yes","2018-07-03 15:40:23.334192","2018-07-03 15:40:23.334192",40.7480467,-73.96922850000001
1054,"Queens","Between 87th Street and 100th Street","Rockaway Beach","No","2018-07-03 15:40:24.045994","2018-07-03 15:40:24.045994",40.6845964,-73.8539296
1057,"Queens","Between 110th and 121st streets","Rockaway Beach (Beach 116Th)","Yes","2018-07-03 15:40:24.660011","2018-07-03 15:40:24.660011",40.6858936,-73.82196870000001
1059,"Queens","Beach 117 Street","Rockaway Beach 117th L/G",,"2018-07-03 15:40:25.275621","2018-07-03 15:40:25.275621",40.5795009,-73.83810679999999
1061,"Queens","Beach 97 Street","Rockaway Beach 97 Comfort Station",,"2018-07-03 15:40:25.888982","2018-07-03 15:40:25.888982",40.584947,-73.81880570000001
1062,"Brooklyn","Rodney, South 3 & South 4 streets","Rodney Playground South","Yes","2018-07-03 15:40:26.710819","2018-07-03 15:40:26.710819",40.7099469,-73.9555042
1063,"Brooklyn","Wilson & Lee avenues, Taylor Street","Roebling Playground","Yes","2018-07-03 15:40:27.323331","2018-07-03 15:40:27.323331",40.7064678,-73.96077129999999
1064,"Manhattan","Jumel Terrace to Edgecombe Avenue, West 160 to West 162 streets","Roger Morris Park (Morris Jumel Mansion)","Yes","2018-07-03 15:40:27.937909","2018-07-03 15:40:27.937909",40.8349,-73.9397
1065,"Brooklyn","New York & Clarkson avenues","Rolf Henry Playground","Yes","2018-07-03 15:40:28.759166","2018-07-03 15:40:28.759166",40.6560529,-73.93955489999999
1066,"Bronx","Webster Avenue, Harlem River, East Fordham Road","Rose Hill Park","Yes","2018-07-03 15:40:29.376677","2018-07-03 15:40:29.376677",40.8614992,-73.890761
1067,"Queens","Woodward Avenue, Woodbine Street, Fairview Avenue","Rosemary's Playground (JHS 93)","Yes","2018-07-03 15:40:29.986416","2018-07-03 15:40:29.986416",40.705483,-73.903772
1068,"Queens","Northwest of fence running from 118th Road to hospital","Roy Wilkins Recreation Center","Yes","2018-07-03 15:40:30.599228","2018-07-03 15:40:30.599228",40.6870379,-73.7694259
1069,"Queens","Southeast of fence running from 118th Road to hospital","Roy Wilkins Recreation Center","Yes","2018-07-03 15:40:31.012182","2018-07-03 15:40:31.012182",40.7282239,-73.7948516
1070,"Brooklyn","Aberdeen Street & Bushwick Avenue","Rudd Playground","Yes","2018-07-03 15:40:31.488655","2018-07-03 15:40:31.488655",40.6823741,-73.9056353
1071,"Queens","Jamaica Avenue, 153 Street, 89 Avenue, 150 Street","Rufus King Park","Yes","2018-07-03 15:40:32.243441","2018-07-03 15:40:32.243441",40.702736,-73.80228
1073,"Queens","68 Avenue, Booth to Austin streets","Russell Sage Playground (JHS 190)","Yes","2018-07-03 15:40:33.26462","2018-07-03 15:40:33.26462",40.7278884,-73.8611641
1074,"Manhattan","East Houston Street to Canal Street","Sara D. Roosevelt Park","Yes","2018-07-03 15:40:34.286162","2018-07-03 15:40:34.286162",40.7221498,-73.9853423
1075,"Brooklyn","Howard Avenue, Halsey, Macon streets","Saratoga Square Park","Yes","2018-07-03 15:40:34.900353","2018-07-03 15:40:34.900353",40.6851865,-73.9204706
1076,"Staten Island","Wild Avenue, Pearson Street","Schmul Park","Yes","2018-07-03 15:40:35.514283","2018-07-03 15:40:35.514283",40.5906341,-74.1884251
